BARCODE,ASSET DESCRIPTION,SERIAL NO,CATEGORY_1,CATEGORY_2,CATEGORY_3,CATEGORY_4,USAGE_YES/NO,REPUNIT_1,REPUNIT_2,LOCATION_1,LOCATION_2,LOCATION_3,FLOOR NUMBER,ROOM TYPE,VERIFICATION DATE,OWNERSHIP,DUPLICATE BARCODE,ASSET CONDITION,OWNER,LEASED,VIN NUMBER,DATE OF VERIFICATION,SUPPLIER NAME,GAMAP FUNDING,GFS FUNDING,QUANTITY,WIDTH,GRADING,DIAMETRE,LENGTH,FROM NODE,TO NODE,NODE LAYER,LAT,LONG,GIS_ID,,,,
A04590,BOREHOLE & WINDMILL,N/A,,,BOREHOLE & WINDMILL,STEEL,YES,,,BOSCHOF,GAME CAMP,,,,,,,GOOD,,,,,,,,,,,,,,,,28°32.925'S,25°14.196'E,,,,,
A04591,WATER PUMP ENCLOSER,N/A,,,WATER PUMP ENCLOSER,ZINC,YES,,,BOSCHOF,GAME CAMP,,,,,,,GOOD,,,,,,,,,,,,,,,,28°33.571'S,25°14.182'E,,,,,
,WATER DAM,N/A,,,WATER DAM,,YES,,,BOSCHOF,GAME CAMP,,,,,,,POOR,,,,,,,,,,,,,,,,28°32.926'S,25°14.204'E,,,,,
A04571,WATER TANK,N/A,,,WATER TANK,ASBESTOS 1000L,,,,BOSCHOF,GAME CAMP,,,,,,,GOOD,,,,,,,,,,,,,,,,28°33.853'S,25°11.945'E,,,,,
A04572,LIGHT ARM SINGLE,N/A,,,LIGHT ARM SINGLE,WOODEN,,,,BOSCHOF,GAME CAMP,,,,,,,GOOD,,,,,,,,,,,,,,,,28°33.857'S,25°11.932'E,,,,,
A04573,BOREHOLE & WINDMILL,N/A,,,BOREHOLE & WINDMILL,N/A,YES,,,BOSCHOF,GAME CAMP,,,,,,,FAIR,,,,,,,,,,,,,,,,28°33.848'S,25°11.955'E,,,,,
A04574,JO-JO TANK,N/A,,,JO-JO TANK,2500L,YES,,,BOSCHOF,GAME CAMP,,,,,,,GOOD,,,,,,,,,,,,,,,,28°33.847'S,25°11.956'E,,,,,
A04575,WATER TROUGH,N/A,,,WATER TROUGH,STEEL,YES,,,BOSCHOF,GAME CAMP,,,,,,,GOOD,,,,,,,,,,,,,,,,28°33.847'S,25°11.964'E,,,,,
A04576,MEAT PROCESSING FACILITIES,N/A,,,MEAT PROCESSING FACILITIES,STEEL,YES,,,BOSCHOF,GAME CAMP,,,,,,,GOOD,,,,,,,,,,,,,,,,28°33.845'S,25°11.965'E,,,,,
A04577,LIGHT ARM SINGLE,N/A,,,LIGHT ARM SINGLE,WOODEN,,,,BOSCHOF,GAME CAMP,,,,,,,GOOD,,,,,,,,,,,,,,,,28°33.844'S,25°11.961'E,,,,,
A04582,WATER TROUGH,N/A,,,WATER TROUGH,STEEL,NO,,,BOSCHOF,GAME CAMP,,,,,,,FAIR,,,,,,,,,,,,,,,,28°33.536'S,25°13.544'E,,,,,
,WATER DAM,N/A,,,WATER DAM,CEMENT 25000L,NO,,,BOSCHOF,GAME CAMP,,,,,,,BROKEN,,,,,,,,,,,,,,,,28°33.856'S,25°11.944'E,,,,,
,WATER TROUGH,N/A,,,WATER TROUGH,CEMENT,NO,,,BOSCHOF,GAME CAMP,,,,,,,BROKEN,,,,,,,,,,,,,,,,28°33.863'S,25°11.954'E,,,,,
A04578,BOREHOLE & WINDMILL,N/A,,,BOREHOLE & WINDMILL,STEEL,YES,,,BOSCHOF,GAME CAMP,,,,,,,GOOD,,,,,,,,,,,,,,,,28°34.857'S,25°12.359'E,,,,,
A04579,WATER TROUGH,N/A,,,WATER TROUGH,STEEL,YES,,,BOSCHOF,GAME CAMP,,,,,,,GOOD,,,,,,,,,,,,,,,,28°34.869'S,25°12.366'E,,,,,
A04580,WATER TROUGH,N/A,,,WATER TROUGH,STEEL,NO,,,BOSCHOF,GAME CAMP,,,,,,,POOR,,,,,,,,,,,,,,,,28°34.078'S,25°14.141'E,,,,,
A04581,BOREHOLE & WINDMILL,N/A,,,BOREHOLE & WINDMILL,STEEL,YES,,,BOSCHOF,GAME CAMP,,,,,,,GOOD,,,,,,,,,,,,,,,,28°34.067'S,25°14.184'E,,,,,
,WATER DAM,N/A,,,WATER DAM,25000L,YES,,,BOSCHOF,GAME CAMP,,,,,,,GOOD,,,,,,,,,,,,,,,,28°34.857'S,25°12.858'E,,,,,
,WATER TROUGH,N/A,,,WATER TROUGH,CEMENT,NO,,,BOSCHOF,GAME CAMP,,,,,,,BROKEN,,,,,,,,,,,,,,,,28°34.871'S,25°12.367'E,,,,,
,WATER TROUGH,N/A,,,WATER TROUGH,CEMENT,YES,,,BOSCHOF,GAME CAMP,,,,,,,FAIR,,,,,,,,,,,,,,,,28°34.074'S,25°14.167'E,,,,,
,WATER DAM,N/A,,,WATER DAM,CEMENT 25000L,YES,,,BOSCHOF,GAME CAMP,,,,,,,GOOD,,,,,,,,,,,,,,,,28°34.069'S,25°14.183'E,,,,,
,WATER DAM,N/A,,,WATER DAM,ZINC 25000L,YES,,,BOSCHOF,GAME CAMP,,,,,,,GOOD,,,,,,,,,,,,,,,,28°34.283'S,25°13.943'E,,,,,
,WATER DAM,N/A,,,WATER DAM,ZINC 25000L,NO,,,BOSCHOF,GAME CAMP,,,,,,,FAIR,,,,,,,,,,,,,,,,28°33.552'S,25°13.265'E,,,,,
A04583,BOREHOLE & WINDMILL,N/A,,,BOREHOLE & WINDMILL,N/A,YES,,,BOSCHOF,GAME CAMP,,,,,,,GOOD,,,,,,,,,,,,,,,,28°33.453'S,25°13.457'E,,,,,
A04584,PUMP WATER,N/A,,,PUMP WATER,CEMO PUMPS,YES,,,BOSCHOF,GAME CAMP,,,,,,,GOOD,,,,,,,,,,,,,,,,28°33.198'S,25°13.369'E,,,,,
A04585,MOTOR,10540,,,MOTOR,FENNER,YES,,,BOSCHOF,GAME CAMP,,,,,,,GOOD,,,,,,,,,,,,,,,,28°33.198'S,25°13.369'E,,,,,
A04586,WATER PUMP ENCLOSER,N/A,,,WATER PUMP ENCLOSER,ZINC,YES,,,BOSCHOF,GAME CAMP,,,,,,,GOOD,,,,,,,,,,,,,,,,28°33.200'S,25°13.367'E,,,,,
A05452,FENCING,N/A,,,FENCING,PRECAST,YES,,,BOSHOF,SERETSE,STADIUM,N/A,N/A,N/A,TOKOLOGO LOCAL MUNICIPALITY,N/A,BROKEN,,N/A,N/A,,N/A,N/A,N/A,1.00,N/A,N/A,N/A,560X1.9M,N/A,N/A,N/A,28°33.346'S,25°15.286'E,N/A,,,,
,NETBALL COURT,N/A,,,NETBALL COURT,N/A,YES,,,BOSHOF,SERETSE,STADIUM,N/A,N/A,N/A,TOKOLOGO LOCAL MUNICIPALITY,N/A,GOOD,,N/A,N/A,,N/A,N/A,N/A,1.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,28°33.411'S,25°15.251'E,N/A,,,,
,SOCCER FIELD,N/A,,,SOCCER FIELD,N/A,YES,,,BOSHOF,SERETSE,STADIUM,N/A,N/A,N/A,TOKOLOGO LOCAL MUNICIPALITY,N/A,GOOD,,N/A,N/A,,N/A,N/A,N/A,1.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,28°33.405'S,25°15.274'E,N/A,,,,
N/A,NETBALL COURT,N/A,,,NETBALL COURT,CONCRETE,NO,,,HERTZOGVILLE,STADIUM,N/A,N/A,N/A,N/A,TOKOLOGO LOCAL MUNICIPALITY,N/A,POOR,,N/A,N/A,,N/A,N/A,N/A,1.00,N/A,N/A,N/A,32.9X17M,N/A,N/A,N/A,28°08.063'S,25°30.178'E,N/A,,,,
N/A,NETBALL COURT,N/A,,,NETBALL COURT,CONCRETE,NO,,,HERTZOGVILLE,STADIUM,N/A,N/A,N/A,N/A,TOKOLOGO LOCAL MUNICIPALITY,N/A,POOR,,N/A,N/A,,N/A,N/A,N/A,1.00,N/A,N/A,N/A,32.9X17M,N/A,N/A,N/A,28°08.053'S,25°30.164'E,N/A,,,,
A06296,FENCING,N/A,,,FENCING,PRECAST,YES,,,MALEBOGO,STADIUM,N/A,N/A,N/A,N/A,TOKOLOGO LOCAL MUNICIPALITY,N/A,POOR,,N/A,N/A,,N/A,N/A,N/A,1.00,N/A,N/A,N/A,800X2M,N/A,N/A,N/A,N/A,N/A,N/A,,,,
N/A,BASKETBALL COURT,N/A,,,BASKETBALL COURT,TAR,YES,,,HERTZOGVILLE,TSWARAGANANG,STADIUM,N/A,N/A,N/A,TOKOLOGO LOCAL MUNICIPALITY,N/A,FAIR,,N/A,N/A,,N/A,N/A,N/A,1.00,N/A,N/A,N/A,28.8X14.1M,N/A,N/A,N/A,28°39.287'S,25°46.601'E,N/A,,,,
N/A,TENNIS COURT,N/A,,,TENNIS COURT,TAR,YES,,,HERTZOGVILLE,TSWARAGANANG,STADIUM,N/A,N/A,N/A,TOKOLOGO LOCAL MUNICIPALITY,N/A,POOR,,N/A,N/A,,N/A,N/A,N/A,1.00,N/A,N/A,N/A,30.7X15.3M,N/A,N/A,N/A,28°39.293'S,25°46.588'E,N/A,,,,
N/A,TENNIS COURT,N/A,,,TENNIS COURT,CONCRETE,NO,,,BOSHOF,TENNIS CLUB,N/A,N/A,N/A,N/A,TOKOLOGO LOCAL MUNICIPALITY,N/A,POOR,,N/A,N/A,,N/A,N/A,N/A,1.00,N/A,N/A,N/A,36.1X20M,N/A,N/A,N/A,28°32.525'S,25°14.221'E,N/A,,,,
N/A,TENNIS COURT,N/A,,,TENNIS COURT,CONCRETE,NO,,,BOSHOF,TENNIS CLUB,N/A,N/A,N/A,N/A,TOKOLOGO LOCAL MUNICIPALITY,N/A,POOR,,N/A,N/A,,N/A,N/A,N/A,1.00,N/A,N/A,N/A,36.1X20M,N/A,N/A,N/A,28°32.524'S,25°14.231'E,N/A,,,,
,TENNIS COURT,N/A,,,TENNIS COURT,CONCRETE,NO,,,BOSHOF,TENNIS CLUB,N/A,N/A,N/A,N/A,TOKOLOGO LOCAL MUNICIPALITY,N/A,POOR,,N/A,N/A,,N/A,N/A,N/A,1.00,N/A,N/A,N/A,36.1X20M,N/A,N/A,N/A,28°32.540'S,25°14.224'E,N/A,,,,
N/A,TENNIS COURT,N/A,,,TENNIS COURT,CONCRETE,NO,,,BOSHOF,TENNIS CLUB,N/A,N/A,N/A,N/A,TOKOLOGO LOCAL MUNICIPALITY,N/A,POOR,,N/A,N/A,,N/A,N/A,N/A,1.00,N/A,N/A,N/A,36.1X20M,N/A,N/A,N/A,28°32.541'S,25°14.233'E,N/A,,,,
A06221,FENCING,N/A,,,FENCING,WIRE,YES,,,BOSHOF,TENNIS CLUB,N/A,N/A,N/A,N/A,TOKOLOGO LOCAL MUNICIPALITY,N/A,GOOD,,N/A,N/A,,N/A,N/A,N/A,1.00,N/A,N/A,N/A,220.1X3.5M,N/A,N/A,N/A,N/A,N/A,N/A,,,,
A06233,DISTRIBUTION BOX,N/A,,,DISTRIBUTION BOX,STEEL COVER,NO,,,BOSHOF,CARAVAN PARK,N/A,N/A,N/A,N/A,TOKOLOGO LOCAL MUNICIPALITY,N/A,GOOD,,N/A,N/A,,N/A,N/A,N/A,1.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,28°32.606'S,25°14.210'E,N/A,,,,
A06234,DISTRIBUTION BOX,N/A,,,DISTRIBUTION BOX,STEEL COVER,NO,,,BOSHOF,CARAVAN PARK,N/A,N/A,N/A,N/A,TOKOLOGO LOCAL MUNICIPALITY,N/A,GOOD,,N/A,N/A,,N/A,N/A,N/A,1.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,28°32.592'S,25°14.202'E,N/A,,,,
A06240,METER BOX,N/A,,,METER BOX,N/A,NO,,,BOSHOF,CARAVAN PARK,N/A,N/A,N/A,N/A,TOKOLOGO LOCAL MUNICIPALITY,N/A,POOR,,N/A,N/A,,N/A,N/A,N/A,1.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,28°32.654'S,25°14.230'E,N/A,,,,
A06241,FENCING,N/A,,,FENCING,RAZOR WIRE,YES,,,BOSHOF,CARAVAN PARK,N/A,N/A,N/A,N/A,TOKOLOGO LOCAL MUNICIPALITY,N/A,GOOD,,N/A,N/A,,N/A,N/A,N/A,1.00,N/A,N/A,N/A,800X1.8M,N/A,N/A,N/A,N/A,N/A,N/A,,,,
A06242,GATE,N/A,,,GATE,PALISADE,YES,,,BOSHOF,CARAVAN PARK,N/A,N/A,N/A,N/A,TOKOLOGO LOCAL MUNICIPALITY,N/A,GOOD,,N/A,N/A,,N/A,N/A,N/A,1.00,N/A,N/A,N/A,6X1.8M,N/A,N/A,N/A,N/A,N/A,N/A,,,,
A06401,ENCLOSER,N/A,,,ENCLOSER,ZINC,YES,,,BOSHOF,SHOOTING RANGE,N/A,N/A,N/A,N/A,TECHNICAL,N/A,GOOD,MR. W MOREMI,N/A,N/A,,N/A,N/A,N/A,1.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,28°33.085'S,25°14.317'E,,,,,
A05917,METER VALVE,N/A,,,METER VALVE,ASM PM101201312,YES,,,BOSHOF,BOWLING CLUB,N/A,N/A,N/A,N/A,TECHNICAL,N/A,GOOD,MR. W MOREMI,N/A,N/A,,N/A,N/A,N/A,1.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,28°32.641'S,25°13.710'E,N/A,,,,
A05915,METER BOX,N/A,,,METER BOX,STEEL,YES,,,BOSHOF,BOWLING CLUB,N/A,N/A,N/A,N/A,TECHNICAL,N/A,GOOD,MR. W MOREMI,N/A,N/A,,N/A,N/A,N/A,1.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,28°32.641'S,25°13.710'E,N/A,,,,
,RESERVOIR,N/A,,,RESERVOIR,CONCRETE 500 000L,YES,,,BOSHOF,BOWLING CLUB,N/A,N/A,N/A,N/A,TECHNICAL,N/A,GOOD,MR. W MOREMI,N/A,N/A,,N/A,N/A,N/A,1.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,28°32.650'S,25°13.675'E,N/A,,,,
,RESERVOIR,N/A,,,RESERVOIR,CONCRETE 500 000L,YES,,,BOSHOF,BOWLING CLUB,N/A,N/A,N/A,N/A,TECHNICAL,N/A,GOOD,MR. W MOREMI,N/A,N/A,,N/A,N/A,N/A,1.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,28°32.656'S,25°13.671'E,N/A,,,,
A05926,BOREHOLE,N/A,,,BOREHOLE,N/A,YES,,,BOSHOF,BOWLING CLUB,N/A,N/A,N/A,N/A,TECHNICAL,N/A,GOOD,MR. W MOREMI,N/A,N/A,,N/A,N/A,N/A,1.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,28°32.655'S,25°13.674'E,N/A,,,,
A05928,MOTOR,N/A,,,MOTOR,N/A,NO,,,BOSHOF,BOWLING CLUB,N/A,N/A,N/A,N/A,TECHNICAL,N/A,BROKEN,MR. W MOREMI,N/A,N/A,,N/A,N/A,N/A,1.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,28°32.655'S,25°13.674'E,N/A,,,,
A05929,MOTOR,N/A,,,MOTOR,N/A,NO,,,BOSHOF,BOWLING CLUB,N/A,N/A,N/A,N/A,TECHNICAL,N/A,BROKEN,MR. W MOREMI,N/A,N/A,,N/A,N/A,N/A,1.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,28°32.655'S,25°13.674'E,N/A,,,,
A05930,METER VALVE,N/A,,,METER VALVE,GLENFIELD,NO,,,BOSHOF,BOWLING CLUB,N/A,N/A,N/A,N/A,TECHNICAL,N/A,BROKEN,MR. W MOREMI,N/A,N/A,,N/A,N/A,N/A,1.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,28°32.655'S,25°13.674'E,N/A,,,,
A05931,METER VALVE,N/A,,,METER VALVE,GLENFIELD,NO,,,BOSHOF,BOWLING CLUB,N/A,N/A,N/A,N/A,TECHNICAL,N/A,BROKEN,MR. W MOREMI,N/A,N/A,,N/A,N/A,N/A,1.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,28°32.655'S,25°13.674'E,N/A,,,,
A05938,WATER TANK,N/A,,,WATER TANK,STEEL,YES,,,BOSHOF,BOWLING CLUB,N/A,N/A,N/A,N/A,TECHNICAL,N/A,GOOD,MR. W MOREMI,N/A,N/A,,N/A,N/A,N/A,1.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,28°32.897'S,25°13.897'E,,,,,
A05987,MOTOR,N/A,,,MOTOR,BMM 5.5KW,YES,,,BOSHOF,SHOW GROUNDS,N/A,N/A,N/A,N/A,TECHNICAL,N/A,GOOD,MR. W MOREMI,N/A,N/A,,N/A,N/A,N/A,1.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,28°32.813'S,25°14.576'E,N/A,,,,
A05643,FENCING,N/A,,,FENCING,PRECAST,YES,,,BOSHOF,KAREEHOF,STADIUM,N/A,N/A,2012/06/30,TOKOLOGO LOCAL MUNICIPALITY,N/A,BROKEN,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.00,N/A,N/A,N/A,145.5X2X208X2M,N/A,N/A,N/A,28°32.703'S,25°14.984'E,N/A,,,,
,SOCCER FIELD,N/A,,,SOCCER FIELD,N/A,YES,,,BOSHOF,KAREEHOF,STADIUM,N/A,N/A,2012/06/30,TOKOLOGO LOCAL MUNICIPALITY,N/A,FAIR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,28°32.756'S,25°14.977'E,N/A,,,,
A08030,LAPTOP,LXTK90212784417882000,OTHER ASSETS,COMPUTER EQUIPMENT,LAPTOP,ACER,NO,MUNICIPAL MANAGER,N/A,BOSHOF,MUNICIPAL BUILDING,MMD [PA],N/A,R05720,2012/06/30,MMD [PA],N/A,BROKEN,N/A,N/A,N/A,2012/06/30,N/A,N/A,N/A,1.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,VOORTREKKER STREET
p,CHAIR STACKABLE,N/A,OTHER ASSETS,FURNITURE & FITTNGS,CHAIR STACKABLE,PLASTIC BLACK,YES,COMMUNITY SERVICES,N/A,DEALESVILLE,TSWARAGANANG,COMMUNITY HALL (A05705),A05706,A05707,2012/06/30,TOKOLOGO LOCAL MUNICIPALITY,N/A,POOR,TOKOLOGO LOCAL MUNICIPALITY,N/A,N/A,2012/06/30,N/A,N/A,N/A,1.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,POTLAKI STREET
A03834,TABLE STEEL FOLDING,N/A,OTHER ASSETS,FURNITURE & FITTNGS,TABLE STEEL FOLDING,STEEL,YES,COMMUNITY SERVICES,N/A,HERTZOGVILLE,MALEBOGO,COMMUNITY HALL (A06536),A06537,A06538,2012/06/30,TOKOLOGO LOCAL MUNICIPALITY,N/A,POOR,MS. G LESEANE,N/A,N/A,2012/06/30,N/A,N/A,N/A,1.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MALEBOGO STREET
